os,cpu,gpu,ram,kernel,driver,cpuscheduler
Arch Linux,AMD Ryzen 7 5800X 8-Core Processor,Radeon RX 6700/6700 XT/6750 XT / 6800M/6850M XT,16300712,6.1.12-arch1-1,4.6 Mesa 22.3.6,schedutil
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
61.8047,16180,28.9926,97,77,64,2382,1000,2.61752,140,6.47611,2638967152
70.6664,14151,28.9926,97,77,64,2382,1000,2.61752,140,6.47611,2739023888
71.3216,14021,24.4143,98,76,64,2402,1000,2.69017,141,6.48268,2839080834
71.8649,13915,24.4143,98,76,64,2402,1000,2.69017,141,6.48268,2939138080
71.9994,13889,24.4143,98,76,64,2402,1000,2.69017,141,6.48268,3039195717
69.6718,14353,24.4143,98,76,64,2402,1000,2.69017,141,6.48268,3139253333
71.0631,14072,24.4143,98,76,64,2402,1000,2.69017,141,6.48268,3239310319
71.0227,14080,6.46341,98,75,64,2390,1000,2.66772,140,6.47843,3339367375
71.1693,14051,6.46341,98,75,64,2390,1000,2.66772,140,6.47843,3439424572
72.4533,13802,6.46341,98,75,64,2390,1000,2.66772,140,6.47843,3539482128
70.3383,14217,6.46341,98,75,64,2390,1000,2.66772,140,6.47843,3639539484
70.6714,14150,6.46341,98,75,64,2390,1000,2.66772,140,6.47843,3739596840
73.5186,13602,5.11571,99,74,65,2397,1000,2.66772,140,6.4781,3839653826
69.3097,14428,5.11571,99,74,65,2397,1000,2.66772,140,6.4781,3939711243
73.2923,13644,5.11571,99,74,65,2397,1000,2.66772,140,6.4781,4039769779
70.4424,14196,5.11571,99,74,65,2397,1000,2.66772,140,6.4781,4139827265
68.0874,14687,5.11571,99,74,65,2397,1000,2.66772,140,6.4781,4239884191
71.3267,14020,6.44362,99,72,65,2395,1000,2.69005,139,6.47828,4339941608
59.97,16675,6.44362,99,72,65,2395,1000,2.69005,139,6.47828,4440001454
73.3407,13635,6.44362,99,72,65,2395,1000,2.69005,139,6.47828,4540060620
53.5389,18678,6.44362,99,72,65,2395,1000,2.69005,139,6.47828,4640120486
70.082,14269,6.44362,99,72,65,2395,1000,2.69005,139,6.47828,4740178463
67.0646,14911,38.5768,99,73,65,2396,1000,2.72896,139,6.47641,4840199229
69.5024,14388,38.5768,99,73,65,2396,1000,2.72896,139,6.47641,4940256605
68.6153,14574,38.5768,99,73,65,2396,1000,2.72896,139,6.47641,5040321221
69.3097,14428,38.5768,99,73,65,2396,1000,2.72896,139,6.47641,5140378228
69.9741,14291,38.5768,99,73,65,2396,1000,2.72896,139,6.47641,5240435744
44.3203,22563,12.3134,98,72,65,2385,1000,2.74829,139,6.481,5341350400
73.2332,13655,12.3134,98,72,65,2385,1000,2.74829,139,6.481,5441407937
146.113,6844,12.3134,98,72,65,2385,1000,2.74829,139,6.481,5541467113
81.5062,12269,12.3134,98,72,65,2385,1000,2.74829,139,6.481,5641526029
68.3901,14622,12.3134,98,72,65,2385,1000,2.74829,139,6.481,5741584565
67.4218,14832,38.2173,97,72,65,2365,1000,2.81215,139,6.4794,5841642452
69.6282,14362,38.2173,97,72,65,2365,1000,2.81215,139,6.4794,5941699868
70.7864,14127,38.2173,97,72,65,2365,1000,2.81215,139,6.4794,6041757234
98.5804,10144,38.2173,97,72,65,2365,1000,2.81215,139,6.4794,6141816560
64.8466,15421,38.2173,97,72,65,2365,1000,2.81215,139,6.4794,6241875657
66.9972,14926,33.2099,98,72,65,2394,1000,2.83862,139,6.49206,6341934053
70.3482,14215,33.2099,98,72,65,2394,1000,2.83862,139,6.49206,6441991899
71.8752,13913,33.2099,98,72,65,2394,1000,2.83862,139,6.49206,6542051685
64.9562,15395,33.2099,98,72,65,2394,1000,2.83862,139,6.49206,6642110421
76.5345,13066,33.2099,98,72,65,2394,1000,2.83862,139,6.49206,6742168158
43.7369,22864,19.2166,98,72,65,2370,1000,2.83944,138,6.4916,6842227314
73.1743,13666,19.2166,98,72,65,2370,1000,2.83944,138,6.4916,6942284790
88.1057,11350,19.2166,98,72,65,2370,1000,2.83944,138,6.4916,7042342596
76.3534,13097,19.2166,98,72,65,2370,1000,2.83944,138,6.4916,7142400043
74.14,13488,19.2166,98,72,65,2370,1000,2.83944,138,6.4916,7242460719
75.8956,13176,19.2166,98,72,65,2370,1000,2.83944,138,6.4916,7342518025
85.6311,11678,35.6015,98,73,65,2372,1000,3.00646,138,6.49371,7442576931
73.9809,13517,35.6015,98,73,65,2372,1000,3.00646,138,6.49371,7542636378
90.6865,11027,35.6015,98,73,65,2372,1000,3.00646,138,6.49371,7642697244
79.1578,12633,35.6015,98,73,65,2372,1000,3.00646,138,6.49371,7742756560
72.6058,13773,35.6015,98,73,65,2372,1000,3.00646,138,6.49371,7842813906
73.3299,13637,30.3813,99,72,65,2368,1000,3.00702,139,6.49341,7942872593
79.3966,12595,30.3813,99,72,65,2368,1000,3.00702,139,6.49341,8042932579
68.9608,14501,30.3813,99,72,65,2368,1000,3.00702,139,6.49341,8142992775
72.317,13828,30.3813,99,72,65,2368,1000,3.00702,139,6.49341,8243051751
55.2456,18101,30.3813,99,72,65,2368,1000,3.00702,139,6.49341,8343112948
97.5324,10253,41.1477,99,73,66,2369,1000,3.04189,138,6.49331,8443174714
77.4174,12917,41.1477,99,73,66,2369,1000,3.04189,138,6.49331,8543232110
76.2776,13110,41.1477,99,73,66,2369,1000,3.04189,138,6.49331,8643292076
85.7559,11661,41.1477,99,73,66,2369,1000,3.04189,138,6.49331,8743350083
72.6903,13757,41.1477,99,73,66,2369,1000,3.04189,138,6.49331,8843408589
72.4008,13812,32.8818,96,73,66,2287,1000,3.09089,136,6.48995,8943466675
55.0418,18168,32.8818,96,73,66,2287,1000,3.09089,136,6.48995,9043525661
70.9421,14096,32.8818,96,73,66,2287,1000,3.09089,136,6.48995,9143582788
67.8564,14737,32.8818,96,73,66,2287,1000,3.09089,136,6.48995,9243641504
89.6781,11151,32.8818,96,73,66,2287,1000,3.09089,136,6.48995,9343700290
70.3978,14205,33.7871,97,73,65,2311,1000,3.09384,138,6.49183,9443760546
74.2942,13460,33.7871,97,73,65,2311,1000,3.09384,138,6.49183,9543818592
69.7934,14328,33.7871,97,73,65,2311,1000,3.09384,138,6.49183,9643877869
69.4637,14396,33.7871,97,73,65,2311,1000,3.09384,138,6.49183,9743935405
108.507,9216,33.7871,97,73,65,2311,1000,3.09384,138,6.49183,9843992811
71.3929,14007,30.2096,97,73,66,2337,1000,3.14576,136,6.49148,9944050497
72.7484,13746,30.2096,97,73,66,2337,1000,3.14576,136,6.49148,10044109494
73.8934,13533,30.2096,97,73,66,2337,1000,3.14576,136,6.49148,10144170190
78.4252,12751,30.2096,97,73,66,2337,1000,3.14576,136,6.49148,10244228596
69.5749,14373,30.2096,97,73,66,2337,1000,3.14576,136,6.49148,10344286012
75.9359,13169,25.1225,98,73,66,2351,1000,3.14576,136,6.49099,10444342739
67.0826,14907,25.1225,98,73,66,2351,1000,3.14576,136,6.49099,10544406495
78.7402,12700,25.1225,98,73,66,2351,1000,3.14576,136,6.49099,10644464621
78.235,12782,25.1225,98,73,66,2351,1000,3.14576,136,6.49099,10744522167
78.2595,12778,25.1225,98,73,66,2351,1000,3.14576,136,6.49099,10844579794
76.4,13089,23.6546,97,73,66,2311,1000,3.14878,135,6.49061,10944641180
79.0326,12653,23.6546,97,73,66,2311,1000,3.14878,135,6.49061,11044699336
78.0579,12811,23.6546,97,73,66,2311,1000,3.14878,135,6.49061,11144758442
77.3216,12933,23.6546,97,73,66,2311,1000,3.14878,135,6.49061,11244818409
80.186,12471,23.6546,97,73,66,2311,1000,3.14878,135,6.49061,11344876065
