os,cpu,gpu,ram,kernel,driver,cpuscheduler,  ,  ,  ,  , ,  ,  ,  ,  , 
Arch Linux,AMD Ryzen 7 5800X 8-Core Processor,Radeon RX 6700/6700 XT/6750 XT / 6800M/6850M XT,16300712,6.1.12-arch1-1,4.6 Mesa 22.3.6,schedutil,  ,  ,  ,  , 
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
59.9449,16682,31.8893,96,73,65,2298,1000,3.05092,137,5.02591,14777355995
70.8165,14121,31.8893,96,73,65,2298,1000,3.05092,137,5.02591,14877414691
73.078,13684,31.8893,96,73,65,2298,1000,3.05092,137,5.02591,14977472328
73.1636,13668,31.8893,96,73,65,2298,1000,3.05092,137,5.02591,15077529244
71.3369,14018,22.8931,97,73,65,2368,1000,3.05257,139,5.02567,15177586080
121.625,8222,22.8931,97,73,65,2368,1000,3.05257,139,5.02567,15277645086
72.0357,13882,22.8931,97,73,65,2368,1000,3.05257,139,5.02567,15377706373
62.383,16030,22.8931,97,73,65,2368,1000,3.05257,139,5.02567,15477771999
67.3174,14855,22.8931,97,73,65,2368,1000,3.05257,139,5.02567,15577831855
85.5505,11689,37.858,99,73,64,2387,1000,3.1051,139,5.02489,15677891771
70.2445,14236,37.858,99,73,64,2387,1000,3.1051,139,5.02489,15777949798
70.4672,14191,37.858,99,73,64,2387,1000,3.1051,139,5.02489,15878007764
66.8628,14956,37.858,99,73,64,2387,1000,3.1051,139,5.02489,15978065060
128.617,7775,37.858,99,73,64,2387,1000,3.1051,139,5.02489,16078124186
70.4027,14204,23.0961,96,73,65,2335,1000,3.17736,138,5.02562,16178182242
69.979,14290,23.0961,96,73,65,2335,1000,3.17736,138,5.02562,16278241899
65.0618,15370,23.0961,96,73,65,2335,1000,3.17736,138,5.02562,16378299825
76.0167,13155,23.0961,96,73,65,2335,1000,3.17736,138,5.02562,16478360921
67.4263,14831,23.0961,96,73,65,2335,1000,3.17736,138,5.02562,16578420227
67.8564,14737,32.1033,98,73,65,2382,1000,3.17659,138,5.0261,16678477034
73.97,13519,32.1033,98,73,65,2382,1000,3.17659,138,5.0261,16778537590
77.7242,12866,32.1033,98,73,65,2382,1000,3.17659,138,5.0261,16878597436
99.3443,10066,32.1033,98,73,65,2382,1000,3.17659,138,5.0261,16978655832
56.4621,17711,32.1033,98,73,65,2382,1000,3.17659,138,5.0261,17078705109
59.2101,16889,37.6655,99,73,65,2389,1000,3.17963,138,5.01875,17178764335
101.678,9835,37.6655,99,73,65,2389,1000,3.17963,138,5.01875,17278822221
78.2228,12784,37.6655,99,73,65,2389,1000,3.17963,138,5.01875,17378883447
64.4496,15516,37.6655,99,73,65,2389,1000,3.17963,138,5.01875,17478940894
73.1208,13676,37.6655,99,73,65,2389,1000,3.17963,138,5.01875,17578997620
94.8407,10544,28.5714,96,73,64,2308,1000,3.17379,136,5.02077,17679055876
66.357,15070,28.5714,96,73,64,2308,1000,3.17379,136,5.02077,17779114202
70.5517,14174,28.5714,96,73,64,2308,1000,3.17379,136,5.02077,17879171779
69.9056,14305,28.5714,96,73,64,2308,1000,3.17379,136,5.02077,17979230965
58.7337,17026,28.5714,96,73,64,2308,1000,3.17379,136,5.02077,18079289301
67.659,14780,34.414,95,73,65,2297,1000,3.18454,134,5.02167,18179349957
68.5918,14579,34.414,95,73,65,2297,1000,3.18454,134,5.02167,18279407524
71.1997,14045,34.414,95,73,65,2297,1000,3.18454,134,5.02167,18379465730
63.7227,15693,34.414,95,73,65,2297,1000,3.18454,134,5.02167,18479523656
59.7193,16745,34.414,95,73,65,2297,1000,3.18454,134,5.02167,18579581482
68.6955,14557,8.58209,99,73,65,2389,1000,3.15459,139,5.02077,18679638829
62.7549,15935,8.58209,99,73,65,2389,1000,3.15459,139,5.02077,18779696975
62.8338,15915,8.58209,99,73,65,2389,1000,3.15459,139,5.02077,18879755721
60.3901,16559,8.58209,99,73,65,2389,1000,3.15459,139,5.02077,18979815727
112.423,8895,8.58209,99,73,65,2389,1000,3.15459,139,5.02077,19079874833
64.3087,15550,22.3048,99,72,65,2379,1000,3.06208,137,5.02192,19179931770
57.8771,17278,22.3048,99,72,65,2379,1000,3.06208,137,5.02192,19279988976
64.834,15424,22.3048,99,72,65,2379,1000,3.06208,137,5.02192,19380048332
70.7364,14137,22.3048,99,72,65,2379,1000,3.06208,137,5.02192,19480107458
68.653,14566,22.3048,99,72,65,2379,1000,3.06208,137,5.02192,19580165635
64.1478,15589,22.5527,96,72,65,2305,1000,3.06812,136,5.02463,19680222871
66.6844,14996,22.5527,96,72,65,2305,1000,3.06812,136,5.02463,19780280897
63.488,15751,22.5527,96,72,65,2305,1000,3.06812,136,5.02463,19880340763
59.7407,16739,22.5527,96,72,65,2305,1000,3.06812,136,5.02463,19980398760
72.7696,13742,22.5527,96,72,65,2305,1000,3.06812,136,5.02463,20080457126
59.4177,16830,22.5527,96,72,65,2305,1000,3.06812,136,5.02463,20180516352
61.9003,16155,7.93651,99,71,66,2380,1000,3.04159,137,5.02466,20280575018
