os,cpu,gpu,ram,kernel,driver,cpuscheduler
Arch Linux,AMD Ryzen 7 5800X 8-Core Processor,Radeon RX 6700/6700 XT/6750 XT / 6800M/6850M XT,16297384,6.2.2-arch1-1,4.6 Mesa 22.3.6,schedutil
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
65.95,15163,32.254,95,68,66,2318,1000,3.12393,145,6.54527,5066189254
82.7198,12089,32.254,95,68,66,2318,1000,3.12393,145,6.54527,5166239295
50.6406,19747,32.254,95,68,66,2318,1000,3.12393,145,6.54527,5266288315
63.1712,15830,32.254,95,68,66,2318,1000,3.12393,145,6.54527,5366338376
60.4814,16534,32.254,95,68,66,2318,1000,3.12393,145,6.54527,5466387847
65.2188,15333,36.712,97,69,66,2395,1000,3.07202,149,6.53232,5566439108
66.8449,14960,36.712,97,69,66,2395,1000,3.07202,149,6.53232,5666487949
62.5,16000,36.712,97,69,66,2395,1000,3.07202,149,6.53232,5766538770
62.5547,15986,36.712,97,69,66,2395,1000,3.07202,149,6.53232,5866614841
69.9594,14294,36.712,97,69,66,2395,1000,3.07202,149,6.53232,5966666992
75.5972,13228,30.355,99,69,66,2419,1000,2.99064,149,6.53609,6066717233
56.5036,17698,30.355,99,69,66,2419,1000,2.99064,149,6.53609,6166766064
54.9571,18196,30.355,99,69,66,2419,1000,2.99064,149,6.53609,6266816055
70.6964,14145,30.355,99,69,66,2419,1000,2.99064,149,6.53609,6366865046
63.8081,15672,30.355,99,69,66,2419,1000,2.99064,149,6.53609,6466915476
55.1329,18138,26.125,93,69,66,2248,1000,2.98463,140,6.54479,6566965557
76.3359,13100,26.125,93,69,66,2248,1000,2.98463,140,6.54479,6667015228
70.5567,14173,26.125,93,69,66,2248,1000,2.98463,140,6.54479,6767067589
60.1504,16625,26.125,93,69,66,2248,1000,2.98463,140,6.54479,6867118480
63.3072,15796,26.125,93,69,66,2248,1000,2.98463,140,6.54479,6967167791
55.7631,17933,33.3333,96,70,67,2380,1000,3.04919,148,6.53796,7067216792
66.2076,15104,33.3333,96,70,67,2380,1000,3.04919,148,6.53796,7167265723
67.7369,14763,33.3333,96,70,67,2380,1000,3.04919,148,6.53796,7267314714
106.135,9422,33.3333,96,70,67,2380,1000,3.04919,148,6.53796,7367366835
66.2734,15089,33.3333,96,70,67,2380,1000,3.04919,148,6.53796,7467417926
73.6052,13586,33.3333,96,70,67,2380,1000,3.04919,148,6.53796,7567467287
60.9162,16416,28.9024,99,70,66,2420,1000,3.06791,149,6.53805,7667521327
68.1152,14681,28.9024,99,70,66,2420,1000,3.06791,149,6.53805,7767572848
67.0062,14924,28.9024,99,70,66,2420,1000,3.06791,149,6.53805,7867622609
72.9288,13712,28.9024,99,70,66,2420,1000,3.06791,149,6.53805,7967672280
65.1508,15349,28.9024,99,70,66,2420,1000,3.06791,149,6.53805,8068974931
67.2179,14877,26.9608,97,70,66,2407,1000,3.05313,148,6.5498,8169023822
68.9941,14494,26.9608,97,70,66,2407,1000,3.05313,148,6.5498,8269074543
69.2042,14450,26.9608,97,70,66,2407,1000,3.05313,148,6.5498,8369123594
69.2281,14445,26.9608,97,70,66,2407,1000,3.05313,148,6.5498,8469172915
73.1048,13679,26.9608,97,70,66,2407,1000,3.05313,148,6.5498,8569221565
68.2175,14659,13.5922,97,71,66,2402,1000,3.07674,148,6.54551,8669270486
59.1191,16915,13.5922,97,71,66,2402,1000,3.07674,148,6.54551,8769319787
73.0514,13689,13.5922,97,71,66,2402,1000,3.07674,148,6.54551,8869369378
61.4515,16273,13.5922,97,71,66,2402,1000,3.07674,148,6.54551,8969421929
71.1238,14060,13.5922,97,71,66,2402,1000,3.07674,148,6.54551,9069472470
68.0735,14690,24.4228,99,72,67,2408,1000,3.01834,147,6.53815,9169523881
77.3036,12936,24.4228,99,72,67,2408,1000,3.01834,147,6.53815,9269578092
150.195,6658,24.4228,99,72,67,2408,1000,3.01834,147,6.53815,9369628283
64.2467,15565,24.4228,99,72,67,2408,1000,3.01834,147,6.53815,9469679894
78.8333,12685,24.4228,99,72,67,2408,1000,3.01834,147,6.53815,9569732065
88.8573,11254,49.6446,99,73,67,2416,1000,3.02359,148,6.54433,9669784046
72.5847,13777,49.6446,99,73,67,2416,1000,3.02359,148,6.54433,9769835566
65.5953,15245,49.6446,99,73,67,2416,1000,3.02359,148,6.54433,9869886797
49.0052,20406,49.6446,99,73,67,2416,1000,3.02359,148,6.54433,9969939498
73.5673,13593,49.6446,99,73,67,2416,1000,3.02359,148,6.54433,10069990279
48.0815,20798,38.403,97,73,67,2384,1000,3.06429,147,6.54824,10170041010
99.0295,10098,38.403,97,73,67,2384,1000,3.06429,147,6.54824,10270092181
81.4598,12276,38.403,97,73,67,2384,1000,3.06429,147,6.54824,10370141002
143.864,6951,38.403,97,73,67,2384,1000,3.06429,147,6.54824,10471035753
71.0833,14068,38.403,97,73,67,2384,1000,3.06429,147,6.54824,10571086614
70.6464,14155,42.2111,97,73,66,2353,1000,3.09827,146,6.53112,10671136825
66.7022,14992,42.2111,97,73,66,2353,1000,3.09827,146,6.53112,10771187695
71.4643,13993,42.2111,97,73,66,2353,1000,3.09827,146,6.53112,10871237766
71.1035,14064,42.2111,97,73,66,2353,1000,3.09827,146,6.53112,10971288467
63.3673,15781,42.2111,97,73,66,2353,1000,3.09827,146,6.53112,11071337988
60.9013,16420,31.0087,96,73,67,2316,1000,2.98154,145,6.54549,11171389009
73.1368,13673,31.0087,96,73,67,2316,1000,2.98154,145,6.54549,11271438090
93.1706,10733,31.0087,96,73,67,2316,1000,2.98154,145,6.54549,11371489101
97.8474,10220,31.0087,96,73,67,2316,1000,2.98154,145,6.54549,11471538682
76.0052,13157,31.0087,96,73,67,2316,1000,2.98154,145,6.54549,11571588093
67.1456,14893,33.9066,95,74,67,2275,1000,2.98154,142,6.54427,11671929154
70.2346,14238,33.9066,95,74,67,2275,1000,2.98154,142,6.54427,11771983525
67.7415,14762,33.9066,95,74,67,2275,1000,2.98154,142,6.54427,11872034895
77.3335,12931,33.9066,95,74,67,2275,1000,2.98154,142,6.54427,11972085456
76.9408,12997,33.9066,95,74,67,2275,1000,2.98154,142,6.54427,12072139067
70.6265,14159,42.7879,99,74,67,2417,1000,2.98407,148,6.54005,12172188228
77.4953,12904,42.7879,99,74,67,2417,1000,2.98407,148,6.54005,12272237599
65.8458,15187,42.7879,99,74,67,2417,1000,2.98407,148,6.54005,12372286700
78.0153,12818,42.7879,99,74,67,2417,1000,2.98407,148,6.54005,12472336051
127.796,7825,42.7879,99,74,67,2417,1000,2.98407,148,6.54005,12572385192
92.4727,10814,39.8758,98,74,67,2414,1000,3.0053,146,6.5414,12672437523
59.78,16728,39.8758,98,74,67,2414,1000,3.0053,146,6.5414,12772490034
75.7805,13196,39.8758,98,74,67,2414,1000,3.0053,146,6.5414,12872541745
74.5268,13418,39.8758,98,74,67,2414,1000,3.0053,146,6.5414,12972592926
83.2639,12010,39.8758,98,74,67,2414,1000,3.0053,146,6.5414,13072644716
